CatID,OrgID,Type
51,10740,Discharge
51,10750,Discharge
51,10760,Discharge
51,10770,Discharge
51,10780,Discharge
51,10790,Discharge
51,10800,Discharge
51,10810,Discharge
52,10820,Discharge
54,10830,Discharge
55,10840,Discharge
55,10850,Discharge
55,10860,Discharge
55,10870,Discharge
55,10880,Discharge
55,10890,Discharge
55,10900,Discharge
55,10910,Discharge
55,10920,Discharge
55,10930,Discharge
55,10940,Discharge
55,10950,Discharge
55,10960,Discharge
55,10970,Discharge
55,10980,Discharge
55,10990,Discharge
55,11000,Discharge
55,11010,Discharge
55,11020,Discharge
55,11030,Discharge
55,11040,Discharge
55,11050,Discharge
55,11060,Discharge
55,11070,Discharge
55,11080,Discharge
55,11090,Discharge
55,11100,Discharge
55,11110,Discharge
55,11120,Discharge
55,11130,Discharge
55,11140,Discharge
55,11150,Discharge
55,11160,Discharge
56,11170,Discharge
56,11180,Discharge
57,11190,Discharge
57,11200,Discharge
57,11210,Discharge
57,11220,Discharge
57,11230,Discharge
57,11240,Discharge
47,100000100,Breaches
18,100000200,Breaches
50,100000300,Breaches
46,100000400,Breaches
18,100000500,Breaches
45,100000600,Breaches
57,100000700,Breaches
29,100000800,Breaches
44,100000900,Breaches
29,100001000,Breaches
17,100001100,Breaches
17,100001200,Breaches
15,100001300,Breaches
17,100001400,Breaches
18,100001500,Breaches
6,100001600,Breaches
18,100001700,Breaches
18,100001800,Breaches
23,100001900,Breaches
23,100002000,Breaches
57,100002100,Breaches
18,100002200,Breaches
18,100002300,Breaches
15,100002400,Breaches
47,100002500,Breaches
24,100002600,Breaches
48,100002700,Breaches
18,100002800,Breaches
18,100002900,Breaches
17,100003000,Breaches
23,100003100,Breaches
57,100003200,Breaches
17,100003300,Breaches
47,100003400,Breaches
17,100003500,Breaches
55,100003600,Breaches
40,100003700,Breaches
40,100003800,Breaches
18,100003900,Breaches
17,100004000,Breaches
15,100004100,Breaches
45,100004200,Breaches
18,100004300,Breaches
17,100004400,Breaches
17,100004500,Breaches
47,100004600,Breaches
18,100004700,Breaches
18,100004800,Breaches
14,100004900,Breaches
51,100005000,Breaches
18,100005100,Breaches
18,100005200,Breaches
45,100005300,Breaches
18,100005400,Breaches
18,100005500,Breaches
18,100005600,Breaches
18,100005700,Breaches
18,100005800,Breaches
18,100005900,Breaches
18,100006000,Breaches
18,100006100,Breaches
45,100006200,Breaches
18,100006300,Breaches
51,100006400,Breaches
17,100006500,Breaches
18,100006600,Breaches
17,100006700,Breaches
48,100006800,Breaches
18,100006900,Breaches
23,100007000,Breaches
18,100007100,Breaches
18,100007200,Breaches
18,100007300,Breaches
18,100007400,Breaches
18,100007500,Breaches
18,100007600,Breaches
18,100007700,Breaches
18,100007800,Breaches
18,100007900,Breaches
18,100008000,Breaches
17,100008100,Breaches
15,100008200,Breaches
18,100008300,Breaches
18,100008400,Breaches
18,100008500,Breaches
6,100008600,Breaches
